Row Labels,Sum of Carbs (g),Sum of Fat (g),Sum of Protein (g)
5/26/2017,176.58,82.23,67.93
5/27/2017,98.8,85.78,102.35
5/28/2017,183.08,70.04,95.53
5/29/2017,158.34,47.55,99.98
5/30/2017,152.33,60.62,89.59
5/31/2017,144.09,59.65,37.28
6/1/2017,156.08,52.67,60.33
6/2/2017,97.25,29.26,56.09
6/3/2017,170.8,68.08,87.39
6/4/2017,117.42,47.48,101.06
6/5/2017,155.63,54.58,59.67
6/6/2017,37.69,39.96,40.92
6/7/2017,111.8,45.59,64.44
6/8/2017,92.17,56.24,58.76
6/9/2017,154.74,45.14,41.46
6/10/2017,76.99,53.3,72.79
6/11/2017,123.83,65.43,43.34
6/12/2017,100.81,84.02,35.35
6/13/2017,98.84,32.25,54.25
6/14/2017,78.31,52.54,72.88
6/15/2017,125.56,44.8,51.05
6/16/2017,94.42,28.61,72.7
6/17/2017,83.48,40.49,82.45
6/18/2017,117.64,33.86,88.42
6/19/2017,108.05,30.51,79.45
6/20/2017,106.34,50.98,44.02
6/21/2017,43.87,44.26,96.2
6/22/2017,107.75,21.6,80.71
6/23/2017,81.16,35.86,78.88
6/24/2017,78.54,47.09,73.48
6/25/2017,232.96,52.03,61.76
6/26/2017,86.37,50.78,70.74
6/27/2017,91.58,44.29,107.34
6/28/2017,132.33,19.97,57.11
6/29/2017,135.73,88.36,43.12
6/30/2017,77.56,37.89,47.82
7/1/2017,121.55,62.98,61.78
7/2/2017,90.99,68.87,72.26
7/3/2017,116.34,35.05,83.58
7/4/2017,62.56,49.11,55.53
7/5/2017,110.22,55.42,55.75
7/6/2017,117.05,38.09,126.94
7/7/2017,107.76,58.37,40.53
7/8/2017,104.5,44.33,78.55
7/9/2017,102.42,49.43,73.27
7/10/2017,114.6,27.31,63.19
7/11/2017,125.7,38.29,28.55
7/12/2017,97.08,38.11,143.12
7/13/2017,34.09,26.43,113.84
7/14/2017,149.39,55.58,60.4
7/15/2017,84.53,34.07,65.3
7/16/2017,141.36,24.81,63.32
7/17/2017,71.08,66.4,113.65
7/18/2017,172.57,50.55,58.53
7/19/2017,40.93,44.12,85.16
7/20/2017,107.18,27.74,95.96
7/21/2017,70.21,46.61,58.23
7/22/2017,263.63,46.83,74.24
7/23/2017,139.65,60.3,137.51
7/24/2017,95.5,36.98,63
7/25/2017,81.32,49.6,71.9
7/26/2017,73.52,48.51,73.28
7/27/2017,54.34,25.46,39.18
7/28/2017,39.43,69.51,70.47
7/29/2017,115.36,38.72,66.88
7/30/2017,104.59,46.72,47.41
7/31/2017,33.59,37.68,54.58
8/1/2017,95.24,49.15,44.7
8/2/2017,97.55,45.13,83.07
8/3/2017,69.41,66.89,45
8/4/2017,132.47,40.55,76.04
8/5/2017,57.69,54.57,55.58
8/6/2017,23.79,70.66,114.14
8/7/2017,81.57,59.09,58.01
8/8/2017,73.83,59.91,68.53
8/9/2017,68.75,58.29,58.97
8/10/2017,112.49,50.61,88.44
8/11/2017,115.22,36.21,58.14
8/12/2017,81.8,52.39,61.33
Grand Total,8341.77,3849.22,5584.48
