Day,Metric,Unit,Amount
2017-5-26,"Weight",lbs,175.0
2017-5-28,"Weight",lbs,171.0
2017-5-29,"Weight",lbs,172.0
2017-5-30,"Weight",lbs,173.0
2017-5-31,"Weight",lbs,171.0
2017-6-1,"Weight",lbs,171.0
2017-6-2,"Weight",lbs,170.9
2017-6-3,"Weight",lbs,170.8
2017-6-4,"Weight",lbs,170.8
2017-6-5,"Weight",lbs,170.0
2017-6-6,"Weight",lbs,169.3
2017-6-7,"Weight",lbs,167.8
2017-6-8,"Weight",lbs,166.2
2017-6-10,"Weight",lbs,165.8
2017-6-11,"Weight",lbs,166.2
2017-6-12,"Weight",lbs,166.2
2017-6-13,"Weight",lbs,168.0
2017-6-14,"Weight",lbs,167.0
2017-6-15,"Weight",lbs,166.2
2017-6-16,"Weight",lbs,165.6
2017-6-17,"Weight",lbs,166.4
2017-6-18,"Weight",lbs,165.8
2017-6-19,"Weight",lbs,165.6
2017-6-20,"Weight",lbs,165.2
2017-6-21,"Weight",lbs,165.8
2017-6-22,"Weight",lbs,163.8
2017-6-23,"Weight",lbs,163.2
2017-6-24,"Weight",lbs,164.0
2017-6-25,"Weight",lbs,163.6
2017-6-26,"Weight",lbs,162.8
2017-6-27,"Weight",lbs,163.6
2017-6-27,"Mood",milligiggles,50.0
2017-6-28,"Sleep",hours,9.0
2017-6-28,"Weight",lbs,162.6
2017-6-28,"Mood",milligiggles,55.0
2017-6-29,"Mood",milligiggles,60.0
2017-6-29,"Weight",lbs,162.2
2017-6-29,"Sleep",hours,8.5
2017-6-30,"Weight",lbs,162.2
2017-6-30,"Sleep",hours,7.0
2017-6-30,"Mood",milligiggles,65.0
2017-7-1,"Weight",lbs,163.0
2017-7-1,"Sleep",hours,10.0
2017-7-1,"Mood",milligiggles,66.0
2017-7-2,"Weight",lbs,162.8
2017-7-2,"Sleep",hours,10.0
2017-7-2,"Mood",milligiggles,63.0
2017-7-3,"Sleep",hours,7.0
2017-7-3,"Mood",milligiggles,63.0
2017-7-3,"Weight",lbs,163.8
